video_id,compression,frame_idx,t_sec,R_mean,G_mean,B_mean,Y_mean,Y_std,fps,label
c23__videos__980,c23,0,0.0,213.1737823486328,151.11717224121094,130.96722412109375,162.8555908203125,14.897111892700195,25.0,Real
c23__videos__980,c23,1,0.04,210.4571075439453,149.2124786376953,130.00779724121094,160.8465118408203,18.1990966796875,25.0,Real
c23__videos__980,c23,2,0.08,207.1042938232422,146.9161834716797,127.74463653564453,158.32798767089844,22.189062118530273,25.0,Real
c23__videos__980,c23,3,0.12,208.7231903076172,147.8099365234375,129.25730895996094,159.42059326171875,21.364791870117188,25.0,Real
c23__videos__980,c23,4,0.16,205.5377960205078,146.7282257080078,127.1894760131836,157.82044982910156,24.004573822021484,25.0,Real
c23__videos__980,c23,5,0.2,209.3904266357422,148.93588256835938,129.95501708984375,160.4180908203125,20.933443069458008,25.0,Real
c23__videos__980,c23,6,0.24,206.8746337890625,147.2421112060547,128.035400390625,158.53326416015625,23.18183135986328,25.0,Real
c23__videos__980,c23,7,0.28,207.44210815429688,148.01052856445312,128.3531036376953,159.22640991210938,22.769306182861328,25.0,Real
c23__videos__980,c23,8,0.32,206.2679443359375,147.6688995361328,127.2440185546875,158.65237426757812,22.724687576293945,25.0,Real
c23__videos__980,c23,9,0.36,203.59617614746094,144.7655487060547,126.04689025878906,155.9214630126953,26.026418685913086,25.0,Real
c23__videos__980,c23,10,0.4,204.26507568359375,145.57032775878906,126.28325653076172,156.65631103515625,25.245872497558594,25.0,Real
c23__videos__980,c23,11,0.44,206.23158264160156,147.2535858154297,127.9952163696289,158.40185546875,23.056337356567383,25.0,Real
c23__videos__980,c23,12,0.48,204.02679443359375,145.92344665527344,126.30047607421875,156.8594512939453,24.947036743164062,25.0,Real
c23__videos__980,c23,13,0.52,203.79808044433594,145.41722106933594,126.11961364746094,156.43569946289062,25.280879974365234,25.0,Real
c23__videos__980,c23,14,0.56,202.8391876220703,145.0380096435547,125.38888549804688,155.90786743164062,25.941608428955078,25.0,Real
c23__videos__980,c23,15,0.6,204.63645935058594,146.39376831054688,126.73197174072266,157.3565673828125,24.6102352142334,25.0,Real
c23__videos__980,c23,16,0.64,204.1627655029297,146.24951171875,126.28849792480469,157.1206817626953,24.462007522583008,25.0,Real
c23__videos__980,c23,17,0.68,205.32359313964844,146.76510620117188,127.06627655029297,157.79238891601562,23.869667053222656,25.0,Real
c23__videos__980,c23,18,0.72,204.624755859375,146.36549377441406,126.4892807006836,157.3163604736328,24.100566864013672,25.0,Real
c23__videos__980,c23,19,0.76,203.72125244140625,145.874267578125,125.92105102539062,156.73190307617188,24.84477424621582,25.0,Real
c23__videos__980,c23,20,0.8,203.0360565185547,145.63059997558594,125.33723449707031,156.3698272705078,25.334735870361328,25.0,Real
c23__videos__980,c23,21,0.84,202.2914276123047,144.5428924560547,125.2621841430664,155.4281463623047,26.251680374145508,25.0,Real
c23__videos__980,c23,22,0.88,203.49122619628906,145.4103240966797,125.78265380859375,156.34121704101562,25.685279846191406,25.0,Real
c23__videos__980,c23,23,0.92,202.7924041748047,144.86647033691406,125.20175170898438,155.76171875,25.453210830688477,25.0,Real
c23__videos__980,c23,24,0.96,204.32943725585938,146.09259033203125,126.05750274658203,157.0272216796875,24.118043899536133,25.0,Real
c23__videos__980,c23,25,1.0,206.64132690429688,147.55360412597656,127.80506896972656,158.6898193359375,22.389530181884766,25.0,Real
c23__videos__980,c23,26,1.04,204.39181518554688,146.37037658691406,125.3245620727539,157.18621826171875,23.76918601989746,25.0,Real
c23__videos__980,c23,27,1.08,203.59552001953125,145.63839721679688,124.84795379638672,156.45901489257812,24.493896484375,25.0,Real
c23__videos__980,c23,28,1.12,203.3986358642578,145.9337158203125,124.23099517822266,156.5838165283203,23.891096115112305,25.0,Real
c23__videos__980,c23,29,1.16,202.32748413085938,144.5828399658203,123.84795379638672,155.3623046875,24.52878761291504,25.0,Real
c23__videos__980,c23,30,1.2,203.63255310058594,145.40936279296875,124.62963104248047,156.2873077392578,23.337894439697266,25.0,Real
c23__videos__980,c23,31,1.24,202.88597106933594,144.70370483398438,124.19200897216797,155.59230041503906,23.879581451416016,25.0,Real
c23__videos__980,c23,32,1.28,201.81675720214844,144.17251586914062,123.1764144897461,154.91175842285156,24.10310173034668,25.0,Real
c23__videos__980,c23,33,1.32,200.29531860351562,142.74755859375,122.32748413085938,153.5078887939453,24.64676856994629,25.0,Real
c23__videos__980,c23,34,1.36,200.6871337890625,142.60720825195312,122.95516204833984,153.53611755371094,24.126657485961914,25.0,Real
c23__videos__980,c23,35,1.4,201.76217651367188,143.2231903076172,123.24073791503906,154.22584533691406,22.539125442504883,25.0,Real
c23__videos__980,c23,36,1.44,201.0428924560547,142.48927307128906,123.09259033203125,153.53733825683594,23.11170768737793,25.0,Real
c23__videos__980,c23,37,1.48,200.0867462158203,142.34112548828125,122.09648895263672,153.1561737060547,23.25476837158203,25.0,Real
c23__videos__980,c23,38,1.52,201.3986358642578,142.97174072265625,122.93080139160156,153.9463348388672,22.679431915283203,25.0,Real
c23__videos__980,c23,39,1.56,201.65789794921875,143.0994110107422,123.16179656982422,154.10946655273438,22.569339752197266,25.0,Real
c23__videos__980,c23,40,1.6,202.07797241210938,143.45028686523438,122.91130828857422,154.43162536621094,22.01377296447754,25.0,Real
c23__videos__980,c23,41,1.64,203.10623168945312,143.96881103515625,123.96491241455078,155.09715270996094,21.186519622802734,25.0,Real
c23__videos__980,c23,42,1.68,204.38304138183594,144.51170349121094,124.8255386352539,155.81900024414062,20.686992645263672,25.0,Real
c23__videos__980,c23,43,1.72,204.69200134277344,145.3089599609375,125.01461791992188,156.4685516357422,19.86501121520996,25.0,Real
c23__videos__980,c23,44,1.76,201.95614624023438,143.1647186279297,123.84113311767578,154.26861572265625,21.297119140625,25.0,Real
c23__videos__980,c23,45,1.8,202.45028686523438,143.4122772216797,124.25438690185547,154.58056640625,21.13667869567871,25.0,Real
c23__videos__980,c23,46,1.84,201.6637420654297,142.84600830078125,124.59454345703125,154.03289794921875,21.8276309967041,25.0,Real
c23__videos__980,c23,47,1.88,199.92300415039062,141.94931030273438,123.04873657226562,152.909912109375,23.093456268310547,25.0,Real
c23__videos__980,c23,48,1.92,201.378173828125,142.46685791015625,124.70760345458984,153.7091827392578,22.55118751525879,25.0,Real
